id,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,reviews_per_month,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,latitude,longitude,review_scores_average,availability_30,availability_60,availability_90,availability_365,number_of_reviews_l30d,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,has_availability,instant_bookable,host_location_nearby,has_beach,license_reported,host_since,neighbourhood_cleansed,property_type,amenities,first_review,last_review,calculated_host_listings_count_shared_rooms,bathrooms_number,bathrooms_private,bathrooms_shared,calculated_host_has_shared_rooms,neighbourhood_group_cleansed_Araba,neighbourhood_group_cleansed_Bizkaia,neighbourhood_group_cleansed_Gipuzkoa,host_response_time_day,host_response_time_few_days,host_response_time_few_hours,host_response_time_hour,description_language_en,description_language_es,description_language_fr,description_language_other,room_type_home,room_type_room_hotel,room_type_room_private,room_type_room_shared,price
7398105,0.7340398964511711,1.5385106631949803,0.7851319177869778,6782.407195297464,0.8344549539700732,1.0491805907269844,1.918217067254183,0.5980472080693966,173.57429190234828,0.5738649145020945,1.0033729334776098,1530.8735654819666,8992.701885609245,5.139971390772827,2.9316856791566734,0.8513395537843507,0.9602484027670294,-0.0,43.25636,-2.93706,4.822857142857144,20,42,72,134,1,1.0,0.78,1,1,1,1,0,0.0,0,0,2877,Bilbao,40,"[""Dishwasher"", ""Pocket wifi"", ""Cooking basics"", ""Iron"", ""Bed linens"", ""Patio or balcony"", ""Long term stays allowed"", ""Shampoo"", ""Coffee maker"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Elevator"", ""TV"", ""Extra pillows and blankets"", ""Essentials"", ""Refrigerator"", ""Dishes and silverware"", ""Free parking on premises"", ""Washer"", ""Stove"", ""Hangers"", ""Hot water"", ""Hair dryer"", ""Microwave"", ""Oven""]",2518,96,0,2.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,4.736198448394496
7417324,0.4938846749405049,0.933042961232947,0.8167268137281813,6782.407195297464,0.09152654565202041,1.3266160867944257,1.2715106265651013,0.7159082691560139,173.57429190234828,0.6767417383879183,1.0033729334776098,1530.8735654819666,8992.701885609245,2.0134389627115024,-0.0,1.0072868018093062,1.1788656616121238,-0.0,43.25842,-2.92521,4.53,3,3,27,302,0,0.83,0.01,0,1,1,1,0,0.0,0,0,2925,Bilbao,40,"[""Long term stays allowed""]",2270,2153,0,1.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,4.02535169073515
7418445,0.7340398964511711,1.2709584668200518,0.6572856151660491,300.10182632483475,0.2410965992871675,1.431395766435638,1.72484579654448,0.5980472080693966,32.47492476566847,0.5738649145020945,0.7575401348133471,120.59001710689722,357.13355685717755,2.8132741235593177,1.7687154235394844,1.0581909332647994,1.256629321428152,-0.0,43.40553,-2.69758,4.885714285714286,12,30,52,267,1,1.0,0.65,0,1,1,1,0,0.0,1,1,2617,Mundaka,40,"[""Essentials"", ""Hot water"", ""Coffee maker"", ""Dishwasher"", ""Long term stays allowed"", ""Microwave"", ""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Cooking basics"", ""TV"", ""Washer"", ""Hangers"", ""Bed linens"", ""Oven""]",1832,89,0,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,4.919980925828125
7418448,0.7340398964511711,1.2709584668200518,0.6572856151660491,6782.407195297464,0.48145833711698627,1.431395766435638,1.72484579654448,0.5980472080693966,173.57429190234828,0.5738649145020945,0.7575401348133471,1530.8735654819666,8992.701885609245,3.940637114031566,2.264621688078161,1.0581909332647994,1.256629321428152,-0.0,43.40693,-2.69657,4.842857142857143,14,34,57,286,1,1.0,0.65,0,1,1,1,0,0.0,1,1,2617,Mundaka,40,"[""Freezer"", ""Cooking basics"", ""fagor refrigerator"", ""Bed linens"", ""Toaster"", ""Long term stays allowed"", ""Coffee maker"", ""Kitchen"", ""Wifi"", ""Heating"", ""TV"", ""Essentials"", ""First aid kit"", ""Dishes and silverware"", ""Private entrance"", ""Dining table"", ""Outdoor furniture"", ""Washer"", ""Hangers"", ""Keypad"", ""Fire extinguisher"", ""Hot water"", ""Waterfront"", ""Hair dryer"", ""Microwave"", ""Wine glasses"", ""Oven""]",2369,103,0,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,4.859812404361672
7428057,0.6547448435485791,1.2709584668200518,0.7374333818209302,6782.407195297464,0.0385697681383478,0.6008670000350488,1.6031572224224366,0.6594470503603124,173.57429190234828,0.6283040521158435,0.874692273691441,1530.8735654819666,8992.701885609245,1.3567496222494813,-0.0,0.5368565201504831,0.5732217703133562,-0.0,43.3155,-2.41172,4.761428571428572,29,59,89,353,0,0.0,0.0,0,1,1,1,0,0.0,1,0,2525,Mutriku,37,"[""Host greets you"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Shared pool"", ""Kitchen"", ""Free parking on premises"", ""Heating"", ""TV"", ""Washer"", ""Essentials""]",2131,1407,0,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,4.700480365792417
7466071,0.6547448435485791,0.933042961232947,0.8481216633327928,6743.515312387625,0.5086864982913549,0.6008670000350488,1.025667945326166,0.7159082691560139,173.04516597684494,0.6767417383879183,1.1373095042514334,1523.7263180750242,8939.346057244413,4.05096859018677,1.918750559914406,0.5368565201504831,0.5732217703133562,-0.0,43.30804,-1.97886,4.911428571428571,18,48,65,235,0,1.0,0.9,1,1,1,1,0,0.0,1,0,2523,Donostia-San_Sebastian,37,"[""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Kitchen"", ""Wifi"", ""Heating"", ""Elevator"", ""TV"", ""Washer"", ""Iron"", ""Hangers"", ""Essentials""]",2449,213,0,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,4.653960350157523
7467895,0.6547448435485791,0.933042961232947,0.8167268137281813,5964.430760943713,0.3564711065695602,0.6008670000350488,1.2715106265651013,0.7159082691560139,173.57429190234828,0.6767417383879183,1.0033729334776098,35.36983985757728,8992.701885609245,3.569390680445836,1.590828683059937,0.5368565201504831,0.5732217703133562,-0.0,43.3275,-1.96997,4.931428571428572,0,0,8,191,0,1.0,0.83,0,1,1,1,0,0.0,1,1,2529,Donostia-San_Sebastian,40,"[""Dishwasher"", ""Cooking basics"", ""Iron"", ""Bed linens"", ""Host greets you"", ""Patio or balcony"", ""Long term stays allowed"", ""Shampoo"", ""Coffee maker"", ""Paid parking on premises"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Extra pillows and blankets"", ""Essentials"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Stove"", ""Hangers"", ""Beachfront"", ""Hot water"", ""Waterfront"", ""Hair dryer"", ""Microwave"", ""Oven"", ""Room-darkening shades"", ""TV with standard cable"", ""Cable TV"", ""Paid parking off premises""]",2496,166,0,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,5.075173815233827
7481367,0.4938846749405049,0.6245833744606711,0.6572856151660491,6782.407195297464,0.7235257195231487,-0.0,1.025667945326166,0.5980472080693966,173.57429190234828,0.5738649145020945,0.7575401348133471,1530.8735654819666,8992.701885609245,4.745551605355718,-0.0,0.8513395537843507,-0.0,0.5816004088197608,43.31302,-1.98536,4.845714285714286,0,0,0,0,0,1.0,1.0,1,1,1,1,1,1.0,1,1,2523,Donostia-San_Sebastian,18,"[""Shower gel"", ""Patio or balcony"", ""Indoor fireplace"", ""Hot water"", ""Shampoo"", ""Bed linens"", ""Coffee maker"", ""Hair dryer"", ""Paid parking on premises"", ""Backyard"", ""Breakfast"", ""Long term stays allowed"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Body soap"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Paid parking off premises""]",2503,658,0,1.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4.143134726391533
7562831,0.6547448435485791,0.933042961232947,0.6572856151660491,5818.164429998718,0.0385697681383478,1.167724227318488,1.4561324199074364,0.46400291721084336,173.57429190234828,0.5738649145020945,0.7575401348133471,1351.274409823946,7673.160905063622,1.0800021851653243,-0.0,0.9216812594201299,1.0558031872741866,-0.0,43.28976,-1.99041,0.0,19,49,75,346,0,0.83,1.0,0,1,0,1,1,1.0,1,0,2999,Donostia-San_Sebastian,40,"[""Long term stays allowed"", ""Dryer"", ""Shampoo"", ""Bathtub"", ""Hair dryer"", ""Air conditioning"", ""Kitchen"", ""Free parking on premises"", ""Wifi"", ""Heating"", ""Crib"", ""Elevator"", ""TV"", ""Washer"", ""Iron"", ""Essentials"", ""Smoke alarm""]",1536,1374,0,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,4.820281565605037
7576243,0.7340398964511711,1.379336033340674,0.7374333818209302,6782.407195297464,0.36544620137655387,0.6008670000350488,1.6031572224224366,0.6594470503603124,173.57429190234828,0.6283040521158435,0.874692273691441,1530.8735654819666,8992.701885609245,3.589354529929777,2.264621688078161,0.5368565201504831,0.5732217703133562,-0.0,43.39032,-2.99033,4.8500000000000005,28,58,83,343,0,0.8,0.88,0,1,1,1,0,0.0,1,0,2517,Sopelana,40,"[""Long term stays allowed"", ""Shampoo"", ""Coffee maker"", ""Shared pool"", ""Free street parking"", ""Kitchen"", ""Dishes and silverware"", ""Free parking on premises"", ""Heating"", ""TV"", ""Washer"", ""Essentials""]",2485,292,0,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,5.480638923341991
