id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38120698,Habitación Doble Interior,262970942,Mikel,GuipÃºzcoa,Astigarraga,43.28115,-1.95022,Private room,62,1,1,2021-05-16,0.09,8,203,1,B75152041
38123293,Habitación Individual Ejecutiva Interior,262970942,Mikel,GuipÃºzcoa,Astigarraga,43.2792,-1.9505,Private room,57,1,1,2021-08-06,0.13,8,254,1,B75152041
38124155,"Habitación Doble Exterior, Matrimonio",262970942,Mikel,GuipÃºzcoa,Astigarraga,43.279,-1.95117,Private room,66,1,16,2022-01-23,0.77,8,237,10,B75152041
38126067,Habitación Doble Exterior - 2 camas,262970942,Mikel,GuipÃºzcoa,Astigarraga,43.27887,-1.95165,Private room,66,1,2,2019-10-27,0.06,8,231,0,B75152041
38130347,Apartamento con parking vistas panorámicas,19447512,Sarai,Vizcaya,Bilbao,43.27507,-2.94121,Entire home/apt,120,5,0,,,1,83,0,
38142485,San Mames-2 free parking spaces-In-depth cleaning,59903471,Silvia,Vizcaya,Bilbao,43.259048,-2.951315,Entire home/apt,88,2,29,2022-03-27,0.96,2,41,8,E.BI-1023
38144181,Miramon by FeelFree Rentals,124008929,FeelFree Rentals,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32295,-1.97705,Entire home/apt,327,2,8,2021-08-20,0.26,100,291,2,ESS001630
38145549,Habitación Superior Triple Interior,262970942,Mikel,GuipÃºzcoa,Astigarraga,43.27966,-1.95193,Private room,72,1,1,2019-09-22,0.03,8,239,0,B75152041
38145745,Habitación Superior Triple Exterior,262970942,Mikel,GuipÃºzcoa,Astigarraga,43.27973,-1.95072,Private room,73,1,1,2021-05-30,0.10,8,254,1,B75152041
38146060,Habitación Superior Cuádruple Interior,262970942,Mikel,GuipÃºzcoa,Astigarraga,43.28055,-1.95065,Private room,75,1,2,2021-02-22,0.11,8,246,0,B75152041
38148142,Habitación Superior Cuádruple Exterior,262970942,Mikel,GuipÃºzcoa,Astigarraga,43.28066,-1.95165,Private room,79,1,0,,,8,260,0,B75152041
38151458,Arenal View by Forever Rentals. 3 bedroom apartment in the old town. Wifi,105663223,Promociones Saturdi,Vizcaya,Bilbao,43.26219,-2.92233,Entire home/apt,256,1,21,2022-03-04,0.70,15,187,12,EBI01258
38157418,Magnifico piso delante del mar con jardin privado.,289920057,Zarautz Beach House,GuipÃºzcoa,Zarautz,43.28786,-2.16344,Entire home/apt,225,2,19,2022-03-07,0.62,1,237,8,ESS02464
38201048,Bilbao/Basurto - ARRENDAMIENTO DE TEMPORADA,290265081,Manuel,Vizcaya,Bilbao,43.25677,-2.95153,Entire home/apt,70,15,0,,,2,364,0,
38203537,Bilbao/Zorroza - ARRENDAMIENTO DE TEMPORADA,290265081,Manuel,Vizcaya,Bilbao,43.27601,-2.97051,Entire home/apt,70,15,0,,,2,274,0,
38208527,Apartamento céntrico en calle San Martin+Parking,92825484,Natalia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31629,-1.9833,Entire home/apt,100,5,5,2019-12-28,0.16,1,0,0,
38226796,Elorrio-enclave con encanto,189369038,Begoña,Vizcaya,Elorrio,43.12956,-2.54233,Entire home/apt,65,2,57,2022-03-27,2.01,2,107,36,
38246193,ATERIAN. UNBEATABLE SEAFRONT BRAND NEW APARTMENT,13522693,Aterian,GuipÃºzcoa,Zarautz,43.28689,-2.17277,Entire home/apt,130,1,10,2022-02-26,0.36,9,142,6,ESS02404
38269817,Bonito piso reformado y luminoso en Gorliz,44582216,Ianire,Vizcaya,Gorliz,43.41073,-2.93304,Entire home/apt,95,2,10,2021-09-19,0.34,1,0,1,
38269984,"Yate nuevo preparado para ti,  disfrútalo!!",290882700,Pablo,Vizcaya,Getxo,43.34057,-3.01755,Entire home/apt,150,1,7,2021-08-16,0.24,1,300,1,
38270454,Ven a disfrutar de nuestra habitación vista puerto,290526056,Viviana,Vizcaya,Santurtzi,43.3265,-3.03022,Private room,50,3,1,2019-09-27,0.03,1,365,0,
38273850,SANI aparment by People Rentals / With Parking,85246818,People Rentals,Vizcaya,Bilbao,43.277,-2.96278,Entire home/apt,157,2,12,2020-08-16,0.39,26,272,0,EBI01238
38285104,Vivienda turística LASAI ETXEA,291033035,Lasai,Ãlava,Laguardia,42.55198,-2.5853,Entire home/apt,309,2,4,2021-08-01,0.13,1,0,1,EVI00148
38340291,Aperos de Labranza,10473384,Amada,Ãlava,Zuia,42.93086,-2.85786,Entire home/apt,137,2,4,2021-11-01,0.14,5,85,2,TVI00015
38340328,Cuarto del Telar (Loft),10473384,Amada,Ãlava,Zuia,42.93182,-2.85786,Entire home/apt,79,2,1,2021-07-12,0.11,5,94,1,TVI00015
38340364,Apartamento El Sobrao,10473384,Amada,Ãlava,Zuia,42.93203,-2.85938,Entire home/apt,176,2,2,2021-11-01,0.26,5,1,2,TVI00015
38340388,Horno  (Loft),10473384,Amada,Ãlava,Zuia,42.93048,-2.85725,Entire home/apt,98,2,1,2021-06-29,0.11,5,103,1,TVI00015
38340425,Morada y Enseres,10473384,Amada,Ãlava,Zuia,42.93223,-2.85927,Entire home/apt,137,2,6,2021-12-13,0.51,5,109,6,TVI00015
38353588,Ubicación excelente cerca del Centro Azkuna,190724633,Jen,Vizcaya,Bilbao,43.25984,-2.93391,Entire home/apt,128,2,46,2022-03-26,1.48,7,315,16,EBI01225
38371560,Iterlimen,117422992,Basquenjoy,GuipÃºzcoa,Hondarribia,43.37686,-1.79647,Entire home/apt,129,2,9,2021-09-26,0.31,16,87,2,ESS02488
38374236,Habitación privada  in Rioja + Visita a bodega,292208604,Juan Miguel,Ãlava,Eskuernaga,42.54651,-2.66447,Private room,42,1,21,2022-03-19,0.70,1,362,15,
38423021,Marijoetxea,212245747,Mari Jose,GuipÃºzcoa,Irun,43.33897,-1.80789,Private room,43,1,43,2020-11-03,1.45,1,0,0,
38430827,Cabaña con piscina y BBQ  15 min Bilbao y 10 playa,92848312,Elixabete,Vizcaya,Maruri-Jatabe,43.38555,-2.87985,Entire home/apt,80,2,78,2022-03-24,2.52,1,295,33,
38431336,Room between mountains and sea near San Sebastián,287088842,Iñaki,GuipÃºzcoa,Hondarribia,43.37157,-1.80062,Private room,57,2,39,2022-01-23,1.33,2,26,22,
38443332,Acogedora habitación cerca del metro y playas,293056400,Arantza,Vizcaya,Getxo,43.32987,-3.00535,Private room,49,2,5,2019-11-03,0.16,1,89,0,
38458412,Casa Pilar.Casco Viejo. Wifi.,175134623,Pilar,Vizcaya,Bilbao,43.25613,-2.91773,Entire home/apt,104,1,39,2022-03-20,1.26,1,124,19,EBI01071
38474156,Apartamento en San Sebastian,293340968,Ruth,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31742,-1.95337,Entire home/apt,35,3,43,2022-01-02,1.41,1,0,22,
38505345,ALTAIR,85246818,People Rentals,Vizcaya,Bilbao,43.2694,-2.91987,Entire home/apt,131,2,17,2021-06-27,0.57,26,243,2,EBI01115
38511152,Habitacion por dias,224052298,Jose Luis,Vizcaya,Sestao,43.31063,-3.01,Private room,30,4,0,,,1,365,0,
38515689,"Piso amplio, luminoso, tranquilo y  bien ubicado",293727114,Zorione,Vizcaya,Lekeitio,43.36565,-2.5047,Entire home/apt,76,2,7,2021-12-06,0.23,1,184,4,EBI01618
38515690,Apartamento Puerta del Camino 1,69923417,Sofía,Vizcaya,Bilbao,43.25559,-2.92722,Entire home/apt,80,2,42,2021-11-22,1.37,6,352,18,TBI023
