listing_id,date
132068,2011-06-04
132068,2014-05-04
132068,2014-05-05
132068,2014-05-23
132068,2014-05-24
132068,2014-05-31
132068,2014-06-09
132068,2014-06-20
132068,2014-06-25
132068,2014-07-04
132068,2014-07-08
132068,2014-07-11
132068,2014-07-16
132068,2014-07-22
132068,2014-07-27
132068,2014-08-03
132068,2014-08-08
132068,2014-08-09
132068,2014-08-13
132068,2014-08-18
132068,2014-08-19
132068,2014-08-26
132068,2014-08-28
132068,2014-09-07
132068,2014-09-10
132068,2014-09-15
132068,2014-09-20
132068,2014-09-22
132068,2014-10-26
132068,2014-11-10
132068,2014-11-15
132068,2014-11-30
132068,2014-12-18
132068,2015-01-17
132068,2015-02-15
132068,2015-02-19
132068,2015-02-21
132068,2015-03-01
132068,2015-03-06
132068,2015-03-22
132068,2015-04-01
132068,2015-04-05
132068,2015-04-13
132068,2015-04-15
132068,2015-04-19
132068,2015-04-21
132068,2015-04-24
132068,2015-05-01
132068,2015-05-02
132068,2015-05-05
132068,2015-05-08
132068,2015-05-12
132068,2015-05-14
132068,2015-05-16
132068,2015-05-17
132068,2015-05-22
132068,2015-05-28
132068,2015-05-29
132068,2015-05-31
132068,2015-06-04
132068,2015-06-09
132068,2015-06-17
132068,2015-06-22
132068,2015-06-24
132068,2015-06-26
132068,2015-07-14
132068,2015-07-16
132068,2015-07-18
132068,2015-08-01
132068,2015-08-04
132068,2015-08-08
132068,2015-08-13
132068,2015-08-14
132068,2015-08-17
132068,2015-08-19
132068,2015-08-21
132068,2015-08-26
132068,2015-08-30
132068,2015-09-01
132068,2015-09-04
132068,2015-09-06
132068,2015-09-07
132068,2015-09-10
132068,2015-09-13
132068,2015-09-16
132068,2015-09-19
132068,2015-09-21
132068,2015-09-23
132068,2015-09-26
132068,2015-09-30
132068,2015-10-04
132068,2015-10-15
132068,2015-10-17
132068,2015-10-18
132068,2015-10-24
132068,2015-10-26
132068,2015-11-07
132068,2015-11-08
132068,2015-11-12
132068,2015-11-27
132068,2015-12-01
132068,2015-12-06
132068,2015-12-13
132068,2015-12-18
132068,2015-12-22
132068,2015-12-29
132068,2015-12-31
132068,2016-01-02
132068,2016-01-10
132068,2016-01-13
132068,2016-01-16
132068,2016-01-24
132068,2016-01-26
132068,2016-01-30
132068,2016-02-01
132068,2016-02-06
132068,2016-02-07
132068,2016-02-11
132068,2016-02-14
132068,2016-02-18
132068,2016-02-21
132068,2016-02-26
132068,2016-02-27
132068,2016-02-28
132068,2016-03-02
132068,2016-03-11
132068,2016-03-17
132068,2016-03-20
132068,2016-03-24
132068,2016-03-27
132068,2016-03-30
132068,2016-04-08
132068,2016-04-10
132068,2016-04-17
132068,2016-04-21
132068,2016-04-25
132068,2016-04-28
132068,2016-05-01
132068,2016-05-12
132068,2016-05-15
132068,2016-05-19
132068,2016-05-22
132068,2016-05-29
132068,2016-06-01
132068,2016-06-08
132068,2016-06-10
132068,2016-06-12
132068,2016-06-14
132068,2016-06-19
132068,2016-06-20
132068,2016-06-22
132068,2016-06-25
132068,2016-06-29
132068,2016-07-03
132068,2016-08-03
132068,2016-08-09
132068,2016-09-08
132068,2016-09-11
132068,2016-09-14
132068,2016-09-18
132068,2016-09-19
132068,2016-09-22
132068,2016-09-25
132068,2016-10-05
132068,2016-10-07
132068,2016-10-10
132068,2016-10-13
132068,2016-10-14
132068,2016-10-16
132068,2016-10-17
132068,2016-10-19
132068,2016-10-20
132068,2016-10-23
132068,2016-10-25
132068,2016-10-27
132068,2016-11-11
132068,2016-11-18
132068,2016-11-20
132068,2016-11-25
132068,2016-11-27
132068,2016-11-28
132068,2016-11-29
132068,2016-12-02
132068,2016-12-06
132068,2016-12-11
132068,2016-12-14
132068,2016-12-16
132068,2016-12-22
132068,2016-12-23
132068,2016-12-25
132068,2016-12-28
132068,2017-01-01
132068,2017-01-04
132068,2017-01-06
132068,2017-01-09
132068,2017-01-12
132068,2017-01-15
132068,2017-01-19
132068,2017-01-24
132068,2017-01-27
132068,2017-01-28
132068,2017-02-01
132068,2017-02-02
132068,2017-02-04
132068,2017-02-05
132068,2017-02-08
132068,2017-02-12
132068,2017-02-17
132068,2017-02-19
132068,2017-02-23
132068,2017-03-02
132068,2017-03-05
132068,2017-03-09
132068,2017-03-13
132068,2017-03-20
132068,2017-03-21
132068,2017-03-22
132068,2017-03-24
132068,2017-03-26
132068,2017-03-27
132068,2017-03-28
132068,2017-03-31
132068,2017-04-07
132068,2017-04-10
132068,2017-04-12
132068,2017-04-15
132068,2017-04-17
132068,2017-04-21
132068,2017-04-26
132068,2017-04-29
132068,2017-05-01
132068,2017-05-05
132068,2017-05-06
132068,2017-05-09
132068,2017-05-12
132068,2017-05-15
132068,2017-05-23
132068,2017-05-29
132068,2017-05-31
132068,2017-06-02
132068,2017-06-07
132068,2017-06-12
132068,2017-06-20
132068,2017-06-22
132068,2017-07-01
132068,2017-07-03
132068,2017-07-06
132068,2017-07-07
132068,2017-07-08
132068,2017-07-12
132068,2017-08-04
132068,2017-08-05
132068,2017-08-08
132068,2017-08-09
132068,2017-08-12
132068,2017-08-13
132068,2017-08-15
132068,2017-08-21
132068,2017-08-23
132068,2017-08-30
132068,2017-09-02
132068,2017-09-05
132068,2017-09-09
132068,2017-09-12
132068,2017-09-14
132068,2017-09-15
132068,2017-09-21
132068,2017-09-28
132068,2017-10-03
132068,2017-10-04
132068,2017-10-06
132068,2017-10-08
132068,2017-10-09
132068,2017-10-11
132068,2017-10-14
132068,2017-10-15
132068,2017-10-17
132068,2017-10-22
132068,2017-10-23
132068,2017-10-28
132068,2017-10-30
132068,2017-11-07
132068,2017-11-10
132068,2017-11-11
132068,2017-11-12
132068,2017-11-14
132068,2017-11-23
132068,2017-11-25
132068,2017-11-28
132068,2017-12-10
132068,2017-12-19
132068,2017-12-20
132068,2017-12-22
132068,2017-12-23
132068,2017-12-25
132068,2017-12-27
132068,2017-12-30
132068,2018-01-05
132068,2018-01-06
132068,2018-01-07
132068,2018-01-10
132068,2018-01-14
132068,2018-01-17
132068,2018-01-22
132068,2018-01-25
132068,2018-02-04
132068,2018-02-11
132068,2018-02-18
132068,2018-02-21
132068,2018-02-25
132068,2018-03-04
132068,2018-03-05
132068,2018-03-07
132068,2018-03-14
132068,2018-03-15
132068,2018-03-18
132068,2018-03-21
132068,2018-03-28
132068,2018-03-29
132068,2018-03-31
132068,2018-04-01
132068,2018-04-05
132068,2018-04-09
132068,2018-04-13
132068,2018-04-14
132068,2018-04-20
132068,2018-04-21
132068,2018-04-24
132068,2018-04-29
132068,2018-04-30
132068,2018-05-04
132068,2018-05-06
132068,2018-05-08
132068,2018-05-10
132068,2018-05-18
132068,2018-05-20
132068,2018-05-23
132068,2018-05-27
132068,2018-05-30
132068,2018-06-01
132068,2018-06-09
132068,2018-06-13
132068,2018-06-16
132068,2018-06-25
132068,2018-06-29
132068,2018-07-03
132068,2018-07-09
132068,2018-07-16
132068,2018-07-21
132068,2018-08-05
132068,2018-08-08
132068,2018-08-10
132068,2018-08-13
132068,2018-08-16
132068,2018-08-17
132068,2018-08-22
132068,2018-08-24
132068,2018-08-25
132068,2018-09-01
132068,2018-09-03
132068,2018-09-06
132068,2018-09-07
132068,2018-09-08
132068,2018-09-09
132068,2018-09-12
132068,2018-09-14
132068,2018-09-20
132068,2018-09-21
132068,2018-09-23
132068,2018-09-30
132068,2018-10-04
132068,2018-10-07
132068,2018-10-13
132068,2018-10-16
132068,2018-10-18
132068,2018-10-24
132068,2018-10-26
132068,2018-10-27
132068,2018-10-28
132068,2018-10-31
132068,2018-11-01
132068,2018-11-04
132068,2018-11-07
132068,2018-11-10
132068,2018-11-12
132068,2018-11-14
132068,2018-11-16
132068,2018-11-20
132068,2018-11-25
132068,2018-11-27
132068,2018-12-04
132068,2018-12-09
132068,2018-12-16
132068,2018-12-19
132068,2019-01-06
132068,2019-01-08
132068,2019-01-13
132068,2019-01-18
132068,2019-01-20
132068,2019-01-26
132068,2019-02-03
132068,2019-02-06
132068,2019-02-08
132068,2019-02-10
132068,2019-02-17
132068,2019-02-21
132068,2019-02-22
132068,2019-02-24
132068,2019-02-25
132068,2019-02-27
132068,2019-03-02
132068,2019-03-10
132068,2019-03-12
132068,2019-03-18
132068,2019-03-23
132068,2019-03-24
132068,2019-03-25
132068,2019-03-26
132068,2019-03-27
132068,2019-03-28
132068,2019-03-29
132068,2019-03-31
132068,2019-04-14
132068,2019-04-24
132068,2019-04-27
132068,2019-05-06
132068,2019-05-12
132068,2019-05-13
132068,2019-05-20
132068,2019-05-22
132068,2019-05-25
132068,2019-05-27
132068,2019-05-31
132068,2019-06-03
132068,2019-06-04
132068,2019-06-06
132068,2019-06-11
132068,2019-06-12
132068,2019-06-15
132068,2019-06-22
132068,2019-07-01
132068,2019-07-03
132068,2019-07-06
132068,2019-07-08
132068,2019-07-10
132068,2019-07-14
132068,2019-07-15
132068,2019-07-16
132068,2019-07-20
132068,2019-07-21
132068,2019-07-23
132068,2019-07-26
132068,2019-08-03
132068,2019-08-08
132068,2019-08-09
132068,2019-08-12
132068,2019-08-17
132068,2019-09-05
132068,2019-09-07
132068,2019-09-11
132068,2019-09-13
132068,2019-09-20
132068,2019-09-25
132068,2019-09-26
132068,2019-10-02
132068,2019-10-03
132068,2019-10-04
132068,2019-10-16
132068,2019-10-17
132068,2019-10-20
132068,2019-10-22
132068,2019-10-26
132068,2019-10-28
132068,2019-11-06
132068,2019-11-10
132068,2019-11-14
132068,2019-11-18
132068,2019-11-21
132068,2019-11-23
132068,2019-11-24
132068,2019-11-25
132068,2019-12-01
132068,2019-12-10
132068,2019-12-12
132068,2019-12-15
132068,2019-12-18
132068,2019-12-22
132068,2019-12-27
132068,2019-12-31
132068,2020-01-05
132068,2020-01-10
132068,2020-03-06
132068,2020-06-07
132068,2020-06-16
132068,2020-06-28
132068,2020-07-05
132068,2020-07-11
132068,2020-07-14
132068,2020-07-20
132068,2020-07-23
132068,2020-07-26
132068,2020-09-06
132068,2020-09-12
132068,2020-09-13
132068,2020-09-14
132068,2020-09-27
132068,2020-09-28
132068,2020-10-08
132068,2020-10-12
132068,2021-01-10
132068,2021-01-22
132068,2021-01-28
132068,2021-02-27
132068,2021-02-28
132068,2021-03-14
132068,2021-03-18
132068,2021-03-23
132068,2021-03-25
132068,2021-03-27
132068,2021-04-21
132068,2021-05-16
132068,2021-05-18
132068,2021-05-30
132068,2021-06-02
132068,2021-06-05
132068,2021-06-27
132068,2021-06-30
132068,2021-07-09
132068,2021-07-17
132068,2021-07-28
132068,2021-07-31
132068,2021-08-07
132068,2021-08-14
132068,2021-08-30
132068,2021-09-06
132068,2021-09-10
132068,2021-09-16
132068,2021-09-19
132068,2021-09-24
132068,2021-09-26
132068,2021-09-28
132068,2021-09-30
132068,2021-10-02
132068,2021-10-03
132068,2021-10-05
132068,2021-10-06
132068,2021-10-10
132068,2021-10-14
132068,2021-10-20
132068,2021-10-22
132068,2021-10-25
132068,2021-10-29
132068,2021-11-01
132068,2021-11-05
132068,2021-11-11
132068,2021-11-13
132068,2021-11-15
132068,2021-11-19
132068,2021-11-21
132068,2021-11-24
132068,2021-11-26
132068,2021-12-02
132068,2021-12-03
132068,2021-12-06
132068,2021-12-07
132068,2021-12-13
132068,2021-12-14
132068,2021-12-20
132068,2021-12-23
132068,2021-12-24
132068,2022-01-01
132068,2022-01-09
132068,2022-01-12
132068,2022-01-15
132068,2022-01-17
132068,2022-01-19
132068,2022-01-23
132068,2022-01-29
132068,2022-02-14
132068,2022-02-19
132068,2022-02-22
132068,2022-02-25
132068,2022-03-21
132068,2022-03-27
134802,2012-07-16
134802,2013-07-16
134802,2015-07-13
134802,2016-07-11
134802,2017-02-10
134802,2018-06-04
134802,2020-11-30
142760,2011-08-17
142760,2012-04-21
142760,2012-05-10
142760,2012-06-18
142760,2012-07-16
142760,2012-07-29
142760,2013-07-15
142760,2013-07-18
142760,2013-07-27
142760,2013-12-09
142760,2014-09-14
